,0,1
0,-3877598.847450001,danceability
1,-469285.65762099135,energy
2,39643.608099215024,key
3,58348.4586257093,loudness
4,-857382.2133833328,mode
5,-1055382.578368999,speechiness
6,-3992320.856944018,acousticness
7,-2849657.37209202,instrumentalness
8,924498.092738946,liveness
9,1248369.5425708455,valence
10,-8422.24291203354,tempo
11,-11.654754156653325,duration_ms
12,213967938.2356579,neg_lyric_score
13,221059396.51772445,neu_lyric_score
14,224746524.34664086,pos_lyric_score
15,556795.5075127421,com_lyric_score
16,-2.384185791015625e-07,neg_twitter_artist_score
17,0.0,neu_twitter_artist_score
18,0.0,pos_twitter_artist_score
19,0.0,com_twitter_artist_score
20,0.07297672977438197,Artist_followers
21,159245.75904306912,Artist_popularity
